FYRMO,FDATE,FORM,SECFNAME,SECFNAME_URL
199803,06/03/1998,10-K405,edgar/data/3662/0000950170-98-000413.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
199805,15/05/1998,10-Q,edgar/data/3662/0000950170-98-001001.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-001001.txt
199808,13/08/1998,NT 10-Q,edgar/data/3662/0000950172-98-000783.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950172-98-000783.txt
199811,12/11/1998,10-K/A,edgar/data/3662/0000950170-98-002145.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002145.txt
199811,16/11/1998,NT 10-Q,edgar/data/3662/0000950172-98-001203.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950172-98-001203.txt
199811,25/11/1998,10-Q/A,edgar/data/3662/0000950170-98-002278.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002278.txt
199812,22/12/1998,10-Q,edgar/data/3662/0000950170-98-002401.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002401.txt
199812,22/12/1998,10-Q,edgar/data/3662/0000950170-98-002402.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002402.txt
199903,31/03/1999,NT 10-K,edgar/data/3662/0000950172-99-000362.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-000362.txt
199905,11/05/1999,10-K,edgar/data/3662/0000950170-99-000775.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-000775.txt
199905,17/05/1999,NT 10-Q,edgar/data/3662/0000950172-99-000584.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-000584.txt
199906,11/06/1999,10-Q,edgar/data/3662/0000950170-99-001005.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001005.txt
199908,16/08/1999,NT 10-Q,edgar/data/3662/0000950172-99-001074.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-001074.txt
199908,19/08/1999,10-Q,edgar/data/3662/0000950170-99-001361.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001361.txt
199911,08/11/1999,10-K/A,edgar/data/3662/0000889812-99-003241.txt,https://www.sec.gov/Archives/edgar/data/3662/0000889812-99-003241.txt
199911,08/11/1999,10-Q/A,edgar/data/3662/0000950170-99-001639.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001639.txt
199911,08/11/1999,10-Q/A,edgar/data/3662/0000950170-99-001640.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001640.txt
199911,15/11/1999,NT 10-Q,edgar/data/3662/0000950172-99-001626.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-001626.txt
199911,19/11/1999,10-Q,edgar/data/3662/0000950170-99-001856.txt,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001856.txt
200603,22/03/2006,10-K,edgar/data/3982/0000950129-06-002926.txt,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-002926.txt
200605,01/05/2006,10-K/A,edgar/data/3982/0000950129-06-004690.txt,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-004690.txt
200605,10/05/2006,10-Q,edgar/data/3982/0000950129-06-005244.txt,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-005244.txt
200607,24/07/2006,10-K/A,edgar/data/3982/0000950129-06-007243.txt,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-007243.txt
200607,24/07/2006,10-Q/A,edgar/data/3982/0000950129-06-007244.txt,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-007244.txt
200608,14/08/2006,10-Q,edgar/data/3982/0000950129-06-007871.txt,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-007871.txt
200611,08/11/2006,10-Q,edgar/data/3982/0000950129-06-009522.txt,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-009522.txt
200612,29/12/2006,10-Q/A,edgar/data/3982/0000950134-06-023819.txt,https://www.sec.gov/Archives/edgar/data/3982/0000950134-06-023819.txt
200703,15/03/2007,10-K,edgar/data/3982/0000950129-07-001381.txt,https://www.sec.gov/Archives/edgar/data/3982/0000950129-07-001381.txt
200705,10/05/2007,10-Q,edgar/data/3982/0000950129-07-002432.txt,https://www.sec.gov/Archives/edgar/data/3982/0000950129-07-002432.txt
200708,09/08/2007,10-Q,edgar/data/3982/0000950129-07-003918.txt,https://www.sec.gov/Archives/edgar/data/3982/0000950129-07-003918.txt
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
